職位名稱,公司名稱,網址,所需技能
Full Stack / 全端工程師,英屬維京群島商耐思財富投資有限公司台灣分公司,https://www.104.com.tw/job/6yqdw?jobsource=hotjob_chr,MS SQL
JI0560-熱流測試工程師 (無經驗可),啟碁科技股份有限公司,https://www.104.com.tw/job/6fs7x?jobsource=hotjob_chr,MS SQL
【校園招募類】2020校園實習生徵才,泰爾科技股份有限公司,https://www.104.com.tw/job/74oa1?jobsource=hotjob_chr,MS SQL
IT Software Engineer (Java/PL/SQL) ,Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,https://www.104.com.tw/job/6zveg?jobsource=hotjob_chr,MS SQL
Full Stack/Frontend Engineer / 全端/前端工程師,瑞嘉軟體科技股份有限公司,https://www.104.com.tw/job/41i1t?jobsource=hotjob_chr,MS SQL
Front-end Developer 前端工程師,ThunderCore_閃電核心科技有限公司,https://www.104.com.tw/job/72fo5?jobsource=hotjob_chr,ReactJS
軟體開發資訊工程師,町洋企業股份有限公司,https://www.104.com.tw/job/3o7r7?jobsource=hotjob_chr,ReactJS
海洋中心-技術員(資訊),財團法人國家實驗研究院,https://www.104.com.tw/job/52b1j?jobsource=hotjob_chr,Oracle
前端開發工程師 Front-End Developer,智鈦星平台服務有限公司,https://www.104.com.tw/job/72exp?jobsource=hotjob_chr,ReactNative
Web developer,沛司科技股份有限公司,https://www.104.com.tw/job/6pwz3?jobsource=hotjob_chr,ReactNative
大數據工程師,艾斯移動股份有限公司,https://www.104.com.tw/job/6nmju?jobsource=jolist_b_relevance,Python
數據工程師,台灣資料科學股份有限公司,https://www.104.com.tw/job/74ss1?jobsource=jolist_b_relevance,MS SQL
前端數據工程師(Frontend Data Engineer),霖園關係企業_神坊資訊股份有限公司,https://www.104.com.tw/job/6easo?jobsource=jolist_b_relevance,MS SQL
數據工程師,鄉林建設事業股份有限公司,https://www.104.com.tw/job/6zzyj?jobsource=jolist_b_relevance,MS SQL
數據工程師,旺德賽斯科技股份有限公司,https://www.104.com.tw/job/74f9k?jobsource=jolist_b_relevance,Python
數據工程師,永豐商業銀行股份有限公司,https://www.104.com.tw/job/6woer?jobsource=jolist_b_relevance,Python
【 2020軟體技術人才招募】大數據工程師,緯創軟體股份有限公司,https://www.104.com.tw/job/69zh1?jobsource=jolist_b_relevance,MS SQL
數據工程師,遠東集團HAPPY GO_鼎鼎聯合行銷股份有限公司,https://www.104.com.tw/job/74m1a?jobsource=jolist_b_relevance,Python
數據工程師,中國信託綜合證券股份有限公司,https://www.104.com.tw/job/742af?jobsource=jolist_b_relevance,Python
數據工程師,費米股份有限公司,https://www.104.com.tw/job/73pgl?jobsource=jolist_b_relevance,Python
數據工程師,弈樂科技股份有限公司,https://www.104.com.tw/job/6kssy?jobsource=jolist_b_relevance,PowerPoint
DBA 數據工程師,米約科技有限公司,https://www.104.com.tw/job/7469r?jobsource=jolist_b_relevance,PostgreSQL
Data Engineer 數據工程師,Shopline Limited_商線科技股份有限公司,https://www.104.com.tw/job/5erto?jobsource=jolist_b_relevance,PostgreSQL
資深數據工程師,睿傳數據股份有限公司,https://www.104.com.tw/job/74cwa?jobsource=jolist_b_relevance,Python
數據工程師 Data Engineer,威朋大數據股份有限公司,https://www.104.com.tw/job/5dbhe?jobsource=jolist_b_relevance,Python
大數據工程師,博客來數位科技股份有限公司,https://www.104.com.tw/job/74dad?jobsource=jolist_b_relevance,hadoop
AI數據工程師.,永慶房產集團_永慶房屋仲介股份有限公司,https://www.104.com.tw/job/72rt2?jobsource=jolist_b_relevance,MS SQL
AI數據工程師 B24,永慶房產集團_永慶房屋仲介股份有限公司,https://www.104.com.tw/job/72rtp?jobsource=jolist_b_relevance,MS SQL
數據工程師-E10C,精誠資訊股份有限公司,https://www.104.com.tw/job/6r38m?jobsource=jolist_b_relevance,MS SQL
研發中心 - 資深數據工程師 (Senior Data Engineer),東森新媒體控股股份有限公司,https://www.104.com.tw/job/6reao?jobsource=jolist_b_relevance,hadoop
